Cities,Count,Lat,Lng
Carthage,33,36.8529199,10.3217245
Austin,33,30.267153,-97.7430608
Alice,33,32.7951223,-96.7889378
Prattville,32,32.4640245,-86.4596966
Auburn,32,32.6098566,-85.48078249999999
Peru,32,-9.189967,-75.015152
Sapulpa,32,35.9987007,-96.1141664
Bartlesville,32,36.7473114,-95.98081789999999
Toccoa,32,34.5773206,-83.3323851
Winchester,32,39.1856597,-78.1633341
Fairmont,32,30.26204559999999,-97.7381328
Vincennes,32,38.677269,-87.5286325
Muscatine,32,41.424473,-91.0432051
Tullahoma,31,35.3620235,-86.20943419999999
Tyler,31,32.3512601,-95.30106239999999
Greensburg,31,40.3014581,-79.5389289
Sedalia,31,38.7044609,-93.2282613
Alabaster,31,33.2442813,-86.8163773
Cleburne,31,32.3476438,-97.38668369999999
Lawrence,31,38.9716689,-95.2352501
Camden,31,39.9259463,-75.1196199
Wentzville,31,38.81144,-90.8529107
Fairhope,30,30.5229719,-87.9033261
Cape Girardeau,30,37.3058839,-89.51814759999999
Roanoke Rapids,30,36.4615395,-77.6541464
Williamsburg,30,40.7081156,-73.9570696
Shiloh,30,35.1153617,-88.36170849999999
Aurora,30,41.7605849,-88.32007150000001
Dubuque,30,42.50226610000001,-90.66546749999999
Huntington,30,45.0044485,-84.1445439
Mayfield,30,36.729996,-88.6280743
Fayetteville,30,35.0526641,-78.87835849999999
Mexico,30,23.634501,-102.552784
Lynn Haven,30,30.2454776,-85.64826099999999
Manchester,30,53.4807593,-2.2426305
Cedar Rapids,29,41.9778795,-91.6656232
Ledyard,29,41.4456444,-72.0181743
Shelbyville,29,39.5214373,-85.7769238
Somerset,29,51.105097,-2.9262307
Belle Glade,29,26.6845104,-80.6675577
Charleston,29,32.7764749,-79.93105120000001
Scottsboro,29,34.6723069,-86.03414629999999
Warrensburg,29,38.7627893,-93.73604979999999
Clovis,29,36.8252277,-119.7029194
Benton,29,34.5645371,-92.586828
Cordele,29,31.9635074,-83.7823938
Portage,29,41.5758707,-87.1761455
Cedar Falls,29,42.5348993,-92.4453161
Berea,28,37.568694,-84.2963223
Bryan,28,30.6743643,-96.3699632
Oskaloosa,28,41.2916728,-92.6493595
Duncan,28,34.5023028,-97.9578128
Monmouth,28,40.9114271,-90.64735759999999
Richmond,28,37.5407246,-77.4360481
Beeville,28,28.4008319,-97.7483312
Burlington,28,36.135688,-95.91991159999999
Griffin,28,33.2467807,-84.2640904
Columbia,28,34.0007104,-81.0348144
Waycross,27,31.2135511,-82.3540178
West Lafayette,27,40.4258686,-86.90806549999999
Radcliff,27,37.8403456,-85.9491298
Dyersburg,27,36.0345159,-89.38562809999999
Portales,27,34.1861922,-103.3343978
Pella,27,36.0999525,-95.8694139
Pine Bluff,27,34.2284312,-92.00319549999999
Quincy,27,42.2528772,-71.0022705
Conroe,27,30.3118769,-95.45605119999999
Bedford,27,32.844017,-97.1430671
Corsicana,27,32.0954304,-96.46887269999999
Picayune,27,30.5254692,-89.67950839999999
Morristown,27,40.79676670000001,-74.4815438
Brenham,27,30.1668828,-96.39774419999999
Spearfish,27,44.4908172,-103.8593697
Waupun,27,43.6333219,-88.72955189999999
Crowley,26,32.5790251,-97.3625172
Harrisonville,26,38.6533445,-94.3488372
Saint Cloud,26,45.5579451,-94.16324039999999
Clayton,26,35.650711,-78.4563914
Van Wert,26,40.8694927,-84.58412229999999
Keokuk,26,40.4044731,-91.3963966
Victoria,26,28.8052674,-97.0035982
Sheffield,26,53.38112899999999,-1.470085
Neosho,26,36.8689554,-94.36799599999999
Chanute,26,37.6792135,-95.4572034
Raton,25,36.9033581,-104.4391532
Brainerd,25,46.3526733,-94.2020084
Lamesa,25,32.7376001,-101.950992
Burkburnett,25,34.0978711,-98.5706134
Magnolia,25,37.22358699999999,-95.706663
Leesburg,25,39.1156615,-77.56360149999999
Malvern,25,40.0362184,-75.5138118
Marshfield,25,44.6688524,-90.1717987
Dawson,25,44.93090429999999,-96.05459379999999
Clive,25,41.6060873,-93.77235999999999
Suffolk,25,36.7282054,-76.5835621
Clarksdale,25,34.2001086,-90.5709323
Palestine,25,31.952162,35.233154
West Des Moines,25,41.5638902,-93.75938409999999
Longview,25,32.5007037,-94.74048909999999
Bay City,24,43.5944677,-83.8888647
Portsmouth,24,43.0717552,-70.7625532
Ottumwa,24,41.01602930000001,-92.40830220000001
Tucumcari,24,35.171723,-103.7249662
Shenandoah,24,38.29275579999999,-78.6795836
Valdosta,24,30.8327022,-83.2784851
Miles City,24,46.4083362,-105.8405582
Odessa,24,46.482526,30.7233095
Saint Marys,24,37.3640871,-96.30257449999999
Arkadelphia,23,34.1209292,-93.0537839
Moberly,23,39.4183689,-92.43823669999999
Saint Joseph,23,39.9610378,-74.1885138
Kennett,23,36.2361762,-90.0556493
Fulton,23,33.8033965,-84.3962535
Pontiac,23,42.6389216,-83.29104679999999
Mineral Wells,23,32.8084605,-98.1128223
Clemson,23,34.6738437,-82.8368654
Wilson,23,37.0404423,-95.6406409
Belle Fourche,23,44.6713733,-103.852148
Brownsville,23,25.9017472,-97.4974838
Beaufort,23,32.4315813,-80.6698286
Poquoson,23,37.1223664,-76.3457773
Azle,22,32.8951262,-97.5458565
Glendive,22,47.106401,-104.7107931
Broken Arrow,22,36.060949,-95.7974526
Warren,22,35.9913167,-95.80987510000001
Weston,22,26.1003654,-80.3997748
Portland,22,45.5051064,-122.6750261
Summerville,22,33.0185039,-80.17564809999999
Tifton,22,31.4504629,-83.5084973
Owasso,22,36.2695388,-95.8547119
Gulfport,22,30.3674198,-89.0928155
Urbana,22,40.1105875,-88.2072697
Lapeer,22,43.0514161,-83.31883409999999
Rantoul,22,40.3083672,-88.1558785
Carrollton,22,32.9756415,-96.8899636
Del Rio,22,29.3708857,-100.8958674
Newberry,22,34.2745833,-81.6187178
Leon Valley,21,29.4951562,-98.6185059
Fond Du Lac,21,43.7730448,-88.4470508
Levelland,21,33.5873164,-102.37796
Choctaw,21,33.9517085,-96.41260799999999
La Plata,21,38.5292877,-76.97525139999999
Oshkosh,21,36.0600146,-95.8809807
New Bern,21,35.108493,-77.04411429999999
Houma,21,29.5957696,-90.71953479999999
Hartselle,21,34.4434282,-86.9352842
Cedar Lake,21,41.3647578,-87.4411473
Amarillo,21,35.2219971,-101.8312969
Roswell,21,33.3942655,-104.5230242
Elizabethtown,21,37.7030646,-85.8649408
Cumberland,21,39.6528654,-78.7625185
Milledgeville,21,33.0801429,-83.2320991
Americus,21,32.0723861,-84.23268759999999
Papillion,21,41.1544432,-96.0422378
Wichita Falls,21,33.9137085,-98.4933873
Warsaw,21,52.2296756,21.0122287
Mattoon,21,39.48308970000001,-88.37282549999999
Port Charlotte,21,26.9761707,-82.09064479999999
Shelby,20,35.2923513,-81.5356463
Port Lavaca,20,28.6149968,-96.6260892
Freeport,20,43.8570065,-70.1031201
Vidalia,20,32.2176855,-82.4134614
Bay Saint Louis,20,30.3088076,-89.33004609999999
Bethalto,20,38.9092138,-90.0406608
Millbrook,20,41.7850937,-73.6940175
Pekin,20,40.5675388,-89.640658
Chippewa Falls,20,44.9369054,-91.39293479999999
Plymouth,20,41.9584457,-70.6672621
Wharton,20,29.3116366,-96.1027371
Crossville,20,35.9489566,-85.0269014
Gatesville,20,31.4351645,-97.743911
Kankakee,20,41.1200325,-87.8611531
Charlottesville,20,38.0293059,-78.47667810000002
Williamsport,20,41.2411897,-77.00107860000001
Gadsden,20,34.014264,-86.0066386
Sulphur Springs,20,33.1384479,-95.6010668
Phenix City,19,32.4709761,-85.0007653
Moultrie,19,31.1799407,-83.7888387
Palatka,19,29.6485801,-81.6375819
Lockhart,19,29.8849441,-97.6699996
Waseca,19,44.0770411,-93.50838429999999
Ashland,19,42.1945758,-122.7094767
Covington,19,30.4754702,-90.1009108
Bon Air,19,37.5248695,-77.5577653
Zachary,19,30.64851909999999,-91.1564961
Bryant,19,34.5959265,-92.48904689999999
Ensley,19,33.5116331,-86.8965344
Hondo,19,29.3474565,-99.14142489999999
Alpena,19,45.0616794,-83.4327528
Pell City,19,33.5862149,-86.2860888
Steinbach,19,49.5285279,-96.691092
Humboldt,19,40.7450055,-123.8695086
Edwardsville,19,38.8114364,-89.95315699999999
Morris,19,45.5919444,-95.9188889
Jefferson City,19,38.57670170000001,-92.1735164
Red Wing,19,36.291841,-95.84877809999999
Salisbury,19,38.3606736,-75.5993692
Altona,19,44.8883722,-73.6556985
Blytheville,19,35.9272953,-89.9189753
Ocala,18,29.1871986,-82.14009229999999
Moore,18,35.3395079,-97.48670279999999
Brookings,18,44.3113573,-96.79838769999999
Macon,18,32.8406946,-83.6324022
Coffeyville,18,37.0373005,-95.6163665
Copperas Cove,18,31.124062,-97.90307849999999
Indiana,18,40.2671941,-86.1349019
Saint Peter,18,37.08271190000001,-94.517125
Lewisville,18,33.046233,-96.994174
Sylacauga,18,33.1731716,-86.2516406
Joplin,18,37.08422710000001,-94.51328099999999
Perry,18,41.8385964,-94.10717969999999
Valley,18,37.1591947,-96.9244791
Bella Vista,18,36.481464,-94.2732642
Robstown,18,27.7903032,-97.6688843
Palm Coast,18,29.5844524,-81.20786989999999
Hillsboro,18,45.5272177,-122.9360906
Pueblo,18,38.2544472,-104.6091409
College Station,18,30.627977,-96.3344068
Murfreesboro,18,35.8456213,-86.39027
Abbeville,18,34.1781719,-82.3790147
Opelika,18,32.6454116,-85.3782795
La Crosse,18,43.8137751,-91.25190169999999
Trussville,18,33.6198251,-86.60887559999999
Wildwood,18,38.9917797,-74.8148894
Worland,18,44.01690139999999,-107.9553721
Warner Robins,17,32.6130007,-83.624201
New Iberia,17,30.0035365,-91.81872849999999
Chattanooga,17,35.0456297,-85.3096801
Killarney,17,52.05993530000001,-9.5044265
Marinette,17,45.0999849,-87.6306623
Normal,17,40.5142026,-88.9906312
Sunbury,17,40.862585,-76.79441039999999
Baraboo,17,43.4710944,-89.74429060000001
Collierville,17,35.042036,-89.6645266
Oneonta,17,42.4528571,-75.0637746
Appleton,17,44.2619309,-88.41538469999999
Gardendale,17,33.6601033,-86.8127702
Brownfield,17,33.1812035,-102.2743489
Northfield,17,44.4582983,-93.161604
Newnan,17,33.3806716,-84.79965729999999
Pearl,17,29.4424252,-98.4795944
Punta Gorda,17,26.9297836,-82.0453664
Greeley,17,40.4233142,-104.7091322
Rogers,17,36.3340116,-94.1593785
Windsor,17,37.0435928,-95.65879179999999
Grinnell,17,41.74340919999999,-92.7232456
Laplace,16,30.0665907,-90.4800848
North Myrtle Beach,16,33.8160058,-78.680016
Edmond,16,35.6528323,-97.47809540000002
Dentsville,16,34.0640426,-80.9581451
Leander,16,30.5788055,-97.8530686
Saint Augustine,16,29.9012437,-81.31243409999999
West Odessa,16,31.8419794,-102.4965061
Kingsville,16,27.5158689,-97.85610899999999
Cimarron Hills,16,30.63875179999999,-97.7936658
Williston,16,48.1469683,-103.6179745
Rockport,16,40.7647167,-73.978492
Yukon,16,64.2823274,-135
Alamosa,16,37.4694491,-105.8700214
Piney Green,16,34.7268215,-77.32015609999999
Coralville,16,41.6822756,-91.5960643
Union City,16,37.5933562,-122.0438609
Belton,16,31.0560132,-97.46445299999999
New Albany,16,40.0812545,-82.80874179999999
Sartell,16,45.6216318,-94.2069365
North Mankato,16,44.1732996,-94.033845
Galveston,16,29.3013479,-94.7976958
Front Royal,16,38.9181671,-78.1944446
Terre Haute,16,39.4667034,-87.41390919999999
Prichard,16,30.74515449999999,-88.0896618
Cape Coral,16,26.5628537,-81.9495331
Nashville,16,36.1626638,-86.7816016
Cairo,16,30.0444196,31.2357116
Uvalde,16,29.20968359999999,-99.7861679
Hickory,16,35.7344538,-81.3444573
Sand Springs,16,36.1398102,-96.108891
Festus,16,38.2206101,-90.3959543
Loveland,16,40.3977612,-105.0749801
Logansport,15,40.7544843,-86.3566659
Herrin,15,37.80310559999999,-89.02757439999999
Sherman,15,33.6356618,-96.6088805
Oxbow,15,38.3015876,-122.2816788
Oil City,15,41.4339484,-79.7064413
Thomasville,15,30.8365815,-83.9787808
West Point,15,41.3914827,-73.95597210000001
Gallatin,15,36.3883809,-86.4466599
Onalaska,15,43.8844092,-91.23513930000001
Bristol,15,51.454513,-2.58791
Thibodaux,15,29.7957633,-90.82287099999999
Iowa City,15,41.6611277,-91.5301683
Raymondville,15,26.4814565,-97.783051
Little Rock,15,34.7464809,-92.28959479999999
Naples,15,26.1420358,-81.7948103
Timberlake,15,36.573156,-95.8351138
Valparaiso,15,41.4730948,-87.0611412
Tomball,15,30.0971621,-95.6160549
Waconia,15,44.8504317,-93.7876429
Crawfordsville,15,40.0411536,-86.87445160000001
Rock Island,15,41.5094771,-90.5787476
Mandeville,15,30.35825059999999,-90.06563109999999
Mustang,15,37.16979370000001,-94.454939
Fort Atkinson,15,42.9288944,-88.8370509
Estelle,15,38.5809836,-121.4988886
Seymour,15,38.9592201,-85.8902547
Winslow,14,35.0241873,-110.6973571
Plover,14,44.4563579,-89.5440069
Franklin,14,35.9250637,-86.8688899
Highland Springs,14,37.1134283,-93.2181124
Fruitville,14,27.3297684,-82.45759559999999
Sidney,14,40.7483337,-95.64749590000001
Andrews,14,37.2251014,-95.7017211
Avon Park,14,27.5958672,-81.5061862
Sebring,14,27.495592,-81.440907
Trinidad,14,10.691803,-61.222503
Billings,14,45.7832856,-108.5006904
Beecher,14,41.34059,-87.6214286
West Helena,14,34.550177,-90.6413226
Davenport,14,41.5236437,-90.5776367
Casper,14,40.7107883,-74.0116965
Rincon,14,18.3402164,-67.2500174
Ruidoso,14,33.3672525,-105.6588485
Chalmette,14,29.942783,-89.9635162
Canon City,14,38.4494063,-105.2253316
Taylor,14,37.0321072,-95.6352855
Petersburg,14,37.2279279,-77.40192669999999
Faribault,14,44.2949636,-93.268827
Irmo,14,34.0859829,-81.1831513
Winona,14,44.0553908,-91.6663523
Jesup,14,31.6074365,-81.8853924
Bixby,14,35.9420431,-95.88332349999999
Owatonna,13,44.0855572,-93.2259349
Marathon,13,36.1590741,-95.98191899999999
Godfrey,13,37.76170940000001,-94.7099626
Key Largo,13,25.0865151,-80.4472802
Kilgore,13,32.3862619,-94.87577089999999
Kenner,13,29.9940924,-90.2417434
El Campo,13,29.19664049999999,-96.2696867
Belvidere,13,42.2639098,-88.84426739999999
Lima,13,-12.0463731,-77.042754
Peoria,13,40.6936488,-89.5889864
Sioux City,13,42.4963416,-96.40494079999999
Kokomo,13,40.486427,-86.13360329999999
Back Mountain,13,41.33583,-75.99667
Owosso,13,42.9978049,-84.1766358
Centerville,13,39.6283928,-84.15938179999999
Martinsburg,13,39.4562099,-77.96388689999999
Flagstaff,13,35.1982836,-111.651302
La Porte,13,29.6657838,-95.0193728
Rome,13,41.9027835,12.4963655
West Monroe,13,32.5184775,-92.14763529999999
Olean,13,42.083639,-78.42992699999999
Hueytown,13,33.4512197,-86.9966606
East Moline,13,41.5008673,-90.4442979
North Vernon,13,39.006165,-85.6235796
Prior Lake,13,44.7132969,-93.4227274
Muncie,13,40.1933767,-85.3863599
Galesburg,13,40.94781580000001,-90.3712395
Estevan,13,49.1390842,-102.9914806
Lehigh Acres,13,26.6253497,-81.6248026
Bennettsville,13,34.6173803,-79.68478139999999
Laramie,13,41.3113669,-105.5911007
Nixa,13,37.0433863,-93.294353
Chillicothe,13,39.3331197,-82.9824019
Ferry Pass,13,30.5101959,-87.2124711
Smyrna,12,33.8839926,-84.51437609999999
Seguin,12,29.5688411,-97.9647269
Cedartown,12,34.0112715,-85.25658229999999
Montclair,12,40.8259007,-74.2090053
Sanford,12,43.5356179,-96.7431672
Elmira,12,42.0897965,-76.8077338
Kaukauna,12,44.2780432,-88.27205029999999
Meadville,12,41.6414438,-80.15144839999999
Streator,12,41.12086679999999,-88.835352
Martinez,12,38.0193657,-122.1341321
Neenah,12,44.1858193,-88.462609
Niceville,12,30.5168639,-86.48217199999999
Hope Mills,12,34.9704419,-78.9453056
Atascocita,12,29.99883059999999,-95.1765978
